Date,Open,High,Close,Low,Trades,Change,Company
8/28/2025,313.73,315.72,313.54,309.3473,14951125,-0.06056162943,MCD
8/21/2025,308.37,316.8,314.07,306.56,15126083,1.848428835,MCD
8/14/2025,305.5,310.16,308.93,299.8875,17204399,1.122749591,MCD
8/7/2025,300.53,310.395,305.45,298.37,21657520,1.637107776,MCD
7/31/2025,297.06,305.4308,302.89,294.99,16008854,1.962566485,MCD
7/24/2025,298.11,300.1,298.47,294.41,16004198,0.120760793,MCD
7/17/2025,299.18,302.79,297.07,294.83,18065807,-0.7052610469,MCD
7/10/2025,294.115,302.74,299.91,290.26,19686088,1.970317733,MCD
7/2/2025,290.88,299.65,294.08,290.88,15876760,1.100110011,MCD
6/26/2025,288.52,292.19,291.55,283.47,26670561,1.050187162,MCD
6/19/2025,303.14,304,287.46,285.57,18518282,-5.172527545,MCD
6/12/2025,303.73,305.23,301.91,297.19,17091277,-0.5992164093,MCD
6/5/2025,310.73,314.39,307.36,306.81,14114778,-1.084542851,MCD
5/29/2025,314.51,315.65,313.85,310.04,10774515,-0.2098502432,MCD
5/22/2025,318.11,321.72,314.57,312.63,12514325,-1.112822609,MCD
5/15/2025,312.01,318.66,318.61,305.01,15379509,2.115316817,MCD
10/30/2025,169.98,170.63,166.5,163.61,12774690,-2.047299682,MMM
10/23/2025,153.23,172.85,168.5,152.8,25200348,9.965411473,MMM
10/16/2025,150.57,155.66,152.64,149.27,16484822,1.374775852,MMM
10/9/2025,158.7,159.21,148.75,148.455,12219648,-6.269691241,MMM
10/2/2025,153.5,160.3899,158.66,152.43,12097775,3.361563518,MMM
9/25/2025,155.6,158.14,152.81,151.821,11531676,-1.793059126,MMM
9/18/2025,158,158.54,156.6,153.54,16488159,-0.8860759494,MMM
9/11/2025,154.61,162.1,157.87,151.55,13725929,2.108531143,MMM
9/4/2025,153.95,157.56,155.3,150.43,11208425,0.876908087,MMM
8/28/2025,157.59,158.47,155.53,154.58,12983795,-1.307189542,MMM
8/21/2025,152.36,159.11,158.72,152.05,12185611,4.17432397,MMM
8/14/2025,153.75,160.47,152.39,151.6101,19501282,-0.8845528455,MMM
8/7/2025,145.39,153.685,153.3,145,14692504,5.440539239,MMM
7/31/2025,150.605,153.88,144.41,144.25,19883457,-4.113409249,MMM
7/24/2025,152.25,154.0614,151.27,147.81,22778088,-0.6436781609,MMM
7/17/2025,155.59,164.15,153.23,150.25,25941224,-1.516806993,MMM
7/10/2025,152.8,159.47,155.84,150.95,16430697,1.989528796,MMM
7/2/2025,152.28,156.09,152.94,149.5,12132315,0.4334121355,MMM
6/26/2025,144.39,152.87,152.02,143.35,14662057,5.284299467,MMM
6/19/2025,143.68,145.39,144.03,141.57,11617480,0.243596882,MMM
6/12/2025,145.55,148.05,142.32,141.73,13956487,-2.219168671,MMM
6/5/2025,147.87,148.95,145.5,143.91,13381885,-1.60275918,MMM
5/29/2025,150,150.36,148.35,146.66,13414224,-1.1,MMM
5/22/2025,151.95,154.73,147.62,147.01,13038269,-2.849621586,MMM
5/15/2025,146.09,153.28,153.11,145.27,20886285,4.805257033,MMM
10/30/2025,87.51,88.295,85.98,83.3,55558236,-1.748371615,MRK
